itemsets,support,itemsets_strings
frozenset({'Plywood'}),0.019824326898279173,Plywood
frozenset({'Skirt'}),0.0193725864332899,Skirt
frozenset({'Urban'}),0.01897647072704931,Urban
frozenset({'Arm'}),0.01888207719705155,Arm
frozenset({'Dining Table'}),0.01865957816205684,Dining Table
frozenset({'Night Club'}),0.01819266730831792,Night Club
frozenset({'Cafeteria'}),0.01813367135206933,Cafeteria
frozenset({'Window'}),0.01782352118207669,Window
frozenset({'Dungeon'}),0.017744298040828572,Dungeon
frozenset({'Flooring'}),0.017562253375832896,Flooring
frozenset({'Newborn'}),0.017477973438334897,Newborn
frozenset({'Housing'}),0.017103770515843785,Housing
frozenset({'Hand'}),0.017078486534594386,Hand
frozenset({'Meal'}),0.016861044295849552,Meal
frozenset({'Car'}),0.01649189816960832,Car
frozenset({'Automobile'}),0.01649189816960832,Automobile
frozenset({'Jar'}),0.016485155774608476,Jar
frozenset({'Veil'}),0.016028358513369326,Veil
frozenset({'Blanket'}),0.01594913537212121,Blanket
frozenset({'Pedestrian'}),0.015620443615879012,Pedestrian
frozenset({'Speech'}),0.015568190054630256,Speech
frozenset({'Architecture'}),0.01535411901338534,Architecture
frozenset({'Vase'}),0.015345691019635541,Vase
frozenset({'Crypt'}),0.015129934379640662,Crypt
frozenset({'School'}),0.014821469808397991,School
frozenset({'Floor'}),0.01478101543839895,Floor
frozenset({'Heel'}),0.014757417055899509,Heel
frozenset({'Closet'}),0.014755731457149554,Closet
frozenset({'Dressing Room'}),0.014583800384653638,Dressing Room
frozenset({'Vigil'}),0.014460751675906556,Vigil
frozenset({'Linen'}),0.014202855067162682,Linen
frozenset({'Computer'}),0.014003954414667405,Computer
frozenset({'Blouse'}),0.013992155223417686,Blouse
frozenset({'Road'}),0.013914617680919528,Road
frozenset({'Lighting'}),0.013778084182172771,Lighting
frozenset({'Bride'}),0.013685376250924973,Bride
frozenset({'Cafe'}),0.013530301165928656,Cafe
frozenset({'Flower Bouquet'}),0.013452763623430498,Flower Bouquet
frozenset({'Dancing'}),0.01324543497718542,Dancing
frozenset({'Cupboard'}),0.013211723002186222,Cupboard
frozenset({'Desk'}),0.013162840638437385,Desk
frozenset({'Light'}),0.012411063595955237,Light
frozenset({'Piano'}),0.01225767410970888,Piano
frozenset({'Stage'}),0.012193621357210402,Stage
frozenset({'Pendant'}),0.012154852585961322,Pendant
frozenset({'Vacation'}),0.012043603068463964,Vacation
frozenset({'Classroom'}),0.011961008729715924,Classroom
frozenset({'Curtain'}),0.011920554359716886,Curtain
frozenset({'Advertisement'}),0.011608718590974293,Advertisement
frozenset({'Bedroom'}),0.011441844314728257,Bedroom
frozenset({'Banister'}),0.011403075543479177,Banister
frozenset({'Handrail'}),0.011403075543479177,Handrail
frozenset({'Jeans'}),0.011344079587230578,Jeans
frozenset({'Denim'}),0.011344079587230578,Denim
