itemsets,support,itemsets_strings
frozenset({'Suit'}),0.11376780202979801,Suit
frozenset({'Housing'}),0.017103770515843785,Housing
frozenset({'Hug'}),0.04301142330272848,Hug
frozenset({'Room'}),0.24646150682414653,Room
frozenset({'Flower Arrangement'}),0.021358221760742743,Flower Arrangement
frozenset({'Car'}),0.01649189816960832,Car
frozenset({'Interior Design'}),0.047284416133876996,Interior Design
frozenset({'Photo'}),0.27404970156474134,Photo
frozenset({'Jacket'}),0.10339968411879426,Jacket
frozenset({'Jar'}),0.016485155774608476,Jar
frozenset({'Jaw'}),0.04224784706899661,Jaw
frozenset({'Jeans'}),0.011344079587230578,Jeans
frozenset({'Screen'}),0.03817206929159341,Screen
frozenset({'Jewelry'}),0.04043414281403969,Jewelry
frozenset({'Chair'}),0.047304643318876516,Chair
frozenset({'Child'}),0.20874623479379228,Child
frozenset({'Selfie'}),0.026310510888125124,Selfie
frozenset({'City'}),0.010570389760998953,City
frozenset({'Kid'}),0.20874623479379228,Kid
frozenset({'Text'}),0.02562447219689142,Text
frozenset({'Shaking Hands'}),0.02055081995951192,Shaking Hands
frozenset({'Closet'}),0.014755731457149552,Closet
frozenset({'Clothing'}),0.8443501258299467,Clothing
frozenset({'Shirt'}),0.039970603157800697,Shirt
frozenset({'Shoe'}),0.02517947412690199,Shoe
frozenset({'Coat'}),0.2517711428865204,Coat
frozenset({'Shorts'}),0.03530823701541143,Shorts
frozenset({'Lamp'}),0.04652421109764505,Lamp
frozenset({'Computer'}),0.014003954414667405,Computer
frozenset({'Vase'}),0.01534569101963554,Vase
frozenset({'Sitting'}),0.07020687353458259,Sitting
frozenset({'Skin'}),0.04259170921398844,Skin
frozenset({'Skirt'}),0.0193725864332899,Skirt
frozenset({'Lecture'}),0.01076086241974443,Lecture
frozenset({'Leisure Activities'}),0.10028806882636816,Leisure Activities
frozenset({'Sleeve'}),0.09732984302018842,Sleeve
frozenset({'Costume'}),0.03017053202553345,Costume
frozenset({'Sleeping'}),0.011023815824738185,Sleeping
frozenset({'Couch'}),0.031090868943011593,Couch
frozenset({'Light'}),0.012411063595955237,Light
frozenset({'Court'}),0.054426298037457375,Court
frozenset({'Linen'}),0.014202855067162682,Linen
frozenset({'Lip'}),0.021189661885746745,Lip
frozenset({'Crowd'}),0.17901732964074835,Crowd
frozenset({'Long Sleeve'}),0.034962689271669636,Long Sleeve
frozenset({'Crypt'}),0.015129934379640664,Crypt
frozenset({'Speech'}),0.015568190054630256,Speech
frozenset({'Cupboard'}),0.013211723002186222,Cupboard
frozenset({'Sport'}),0.02714319667060535,Sport
frozenset({'Make Out'}),0.021268885026994862,Make Out
frozenset({'Curtain'}),0.011920554359716886,Curtain
frozenset({'Cushion'}),0.05291263035999332,Cushion
frozenset({'Stage'}),0.012193621357210402,Stage
frozenset({'Dance'}),0.030303694326780286,Dance
frozenset({'School'}),0.01482146980839799,School
frozenset({'Dancing'}),0.013245434977185421,Dancing
frozenset({'Dating'}),0.1465897808890185,Dating
frozenset({'Denim'}),0.011344079587230578,Denim
frozenset({'Smile'}),0.08682182041293798,Smile
frozenset({'Meal'}),0.016861044295849552,Meal
frozenset({'Desk'}),0.013162840638437383,Desk
frozenset({'Dining Table'}),0.018659578162056836,Dining Table
frozenset({'Man'}),0.11787560618345046,Man
frozenset({'Lighting'}),0.013778084182172771,Lighting
frozenset({'Display'}),0.032565767849226566,Display
frozenset({'Veil'}),0.016028358513369326,Veil
frozenset({'Glass'}),0.03651006892413289,Glass
frozenset({'Sunglasses'}),0.023723116806936576,Sunglasses
