itemsets,support,itemsets_strings
frozenset({'Bridegroom'}),0.01128339803223202,Bridegroom
frozenset({'Heel'}),0.01475741705589951,Heel
frozenset({'Building'}),0.05524549902993792,Building
frozenset({'People Laughing'}),0.03830523159284025,People Laughing
frozenset({'Home Decor'}),0.0931411301265379,Home Decor
frozenset({'Restaurant'}),0.051489985015027114,Restaurant
frozenset({'Cabinet'}),0.010123706092259563,Cabinet
frozenset({'Road'}),0.013914617680919528,Road
frozenset({'Cafe'}),0.013530301165928656,Cafe
frozenset({'Cafeteria'}),0.018133671352069326,Cafeteria
frozenset({'Housing'}),0.017103770515843785,Housing
frozenset({'Party'}),0.02145935768574034,Party
frozenset({'Hug'}),0.04301142330272848,Hug
frozenset({'Room'}),0.24646150682414653,Room
frozenset({'Haircut'}),0.02760673632684434,Haircut
frozenset({'Car'}),0.01649189816960832,Car
frozenset({'Interior Design'}),0.047284416133876996,Interior Design
frozenset({'Text'}),0.02562447219689142,Text
frozenset({'Jacket'}),0.10339968411879426,Jacket
frozenset({'School'}),0.01482146980839799,School
frozenset({'Jar'}),0.016485155774608476,Jar
frozenset({'Jaw'}),0.04224784706899661,Jaw
frozenset({'Screen'}),0.03817206929159341,Screen
frozenset({'Jeans'}),0.011344079587230578,Jeans
frozenset({'Advertisement'}),0.011608718590974293,Advertisement
frozenset({'Jewelry'}),0.04043414281403969,Jewelry
frozenset({'Chair'}),0.047304643318876516,Chair
frozenset({'Child'}),0.20874623479379228,Child
frozenset({'City'}),0.010570389760998953,City
frozenset({'Classroom'}),0.011961008729715925,Classroom
frozenset({'Shaking Hands'}),0.02055081995951192,Shaking Hands
frozenset({'Asleep'}),0.011023815824738185,Asleep
frozenset({'Shelf'}),0.0202861809557682,Shelf
frozenset({'Closet'}),0.014755731457149552,Closet
frozenset({'Shoe'}),0.02517947412690199,Shoe
frozenset({'Clothing'}),0.8443501258299467,Clothing
frozenset({'Club'}),0.02514070535565291,Club
frozenset({'Coat'}),0.2517711428865204,Coat
frozenset({'Shorts'}),0.03530823701541143,Shorts
frozenset({'Vehicle'}),0.035092480375416554,Vehicle
frozenset({'Lamp'}),0.04652421109764505,Lamp
frozenset({'Computer'}),0.014003954414667405,Computer
frozenset({'Sitting'}),0.07020687353458259,Sitting
frozenset({'Sleeve'}),0.09732984302018842,Sleeve
frozenset({'Apparel'}),0.8443501258299467,Apparel
frozenset({'Skin'}),0.04259170921398844,Skin
frozenset({'Skirt'}),0.0193725864332899,Skirt
frozenset({'Sleeping'}),0.011023815824738185,Sleeping
frozenset({'Lecture'}),0.01076086241974443,Lecture
frozenset({'Leisure Activities'}),0.10028806882636816,Leisure Activities
frozenset({'Costume'}),0.03017053202553345,Costume
frozenset({'Couch'}),0.031090868943011593,Couch
frozenset({'Lighting'}),0.013778084182172771,Lighting
frozenset({'Court'}),0.054426298037457375,Court
frozenset({'Linen'}),0.014202855067162682,Linen
frozenset({'Lip'}),0.021189661885746745,Lip
frozenset({'Crowd'}),0.17901732964074835,Crowd
frozenset({'Crypt'}),0.015129934379640664,Crypt
frozenset({'Sport'}),0.02714319667060535,Sport
frozenset({'Sports'}),0.02714319667060535,Sports
frozenset({'Cupboard'}),0.013211723002186222,Cupboard
frozenset({'Make Out'}),0.021268885026994862,Make Out
frozenset({'Man'}),0.11787560618345046,Man
frozenset({'Cushion'}),0.05291263035999332,Cushion
frozenset({'Stage'}),0.012193621357210402,Stage
frozenset({'Dance'}),0.030303694326780286,Dance
frozenset({'Dance Pose'}),0.032370238394231206,Dance Pose
frozenset({'Dancing'}),0.013245434977185421,Dancing
frozenset({'Dating'}),0.1465897808890185,Dating
frozenset({'Light'}),0.012411063595955237,Light
frozenset({'Plant'}),0.16965719978222063,Plant
frozenset({'Denim'}),0.011344079587230578,Denim
frozenset({'Meal'}),0.016861044295849552,Meal
frozenset({'Desk'}),0.013162840638437383,Desk
frozenset({'Dining Table'}),0.018659578162056836,Dining Table
frozenset({'Suit'}),0.11376780202979801,Suit
frozenset({'Display'}),0.032565767849226566,Display
frozenset({'Sunglasses'}),0.023723116806936576,Sunglasses
frozenset({'Pedestrian'}),0.015620443615879014,Pedestrian
