itemsets,support,itemsets_strings
frozenset({'Pianist'}),0.023991261612835078,Pianist
frozenset({'Worker'}),0.0171967398086267,Worker
frozenset({'Kid'}),0.02010844377774757,Kid
frozenset({'Food Court'}),0.010299047391339236,Food Court
frozenset({'Sport'}),0.015534546597908093,Sport
frozenset({'Sports'}),0.015534546597908093,Sports
frozenset({'Pillow'}),0.010731381389003978,Pillow
frozenset({'Evening Dress'}),0.013883816788642717,Evening Dress
frozenset({'Symbol'}),0.011578035467764097,Symbol
frozenset({'Fashion'}),0.03545302543728782,Fashion
frozenset({'Plant'}),0.06406567546455434,Plant
frozenset({'Female'}),0.1145210181465645,Female
frozenset({'Hat'}),0.04247845289933987,Hat
frozenset({'Lamp'}),0.039890999428467556,Lamp
